Participant Number,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
926,5.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,,4.0,3.0,2.0,5.0,2.0,3.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,1.0,4.0,2.0,1.0,2.0,,1.0,3.0,5.0,2.0,,5.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,1.0,5.0,3.0,1.0,2.0,4.0,4.0,4,4.0,2.0,4.0,2.0,tried smoking,social drinker,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,2,1.0,5.0,5.0,2.0,5.0,3.0,1.0,4.0,4,1.0,4,i am often running late,sometimes,2.0,4.0,2.0,5.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,1.0,3.0,3.0,5.0,5.0,5.0,4.0,few hours a day,5.0,5.0,3.0,2.0,4.0,2,2.0,20.0,170.0,63.0,0.0,female,right handed,secondary school,no,city,block of flats
927,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,5.0,2.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,4,2.0,5.0,2.0,3.0,never smoked,never,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,2,2.0,4.0,5.0,2.0,2.0,3.0,1.0,5.0,4,1.0,4,i am always on time,only to avoid hurting someone,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,few hours a day,4.0,2.0,3.0,2.0,3.0,2,4.0,22.0,183.0,70.0,1.0,male,right handed,secondary school,no,city,block of flats
928,5.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,5.0,2.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,2.0,1.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,5.0,1.0,1.0,5.0,2.0,1.0,1,1.0,5.0,1.0,4.0,tried smoking,social drinker,3.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,1.0,5.0,4.0,1.0,5.0,1,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3,2.0,3,i am always on time,sometimes,3.0,5.0,5.0,5.0,4.0,2.0,1.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,4.0,5.0,few hours a day,4.0,5.0,3.0,3.0,4.0,4,3.0,19.0,163.0,56.0,1.0,female,right handed,secondary school,no,city,house/bungalow
929,5.0,3.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,5.0,1.0,5.0,4.0,1.0,2.0,2.0,5.0,5,1.0,2.0,1.0,5.0,never smoked,social drinker,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,1.0,3.0,5.0,5.0,3.0,4.0,1.0,3.0,4,2.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,3,2.0,2,i am often early,sometimes,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,5.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,few hours a day,4.0,2.0,1.0,1.0,2.0,2,1.0,19.0,153.0,44.0,0.0,female,right handed,secondary school,yes,city,block of flats
930,3.0,2.0,3.0,5.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,,2.0,3.0,,5.0,1.0,3.0,4.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,,,3.0,3.0,3.0,5.0,3.0,4.0,2.0,4,2.0,1.0,3.0,3.0,tried smoking,never,3.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,3.0,1.0,2.0,2.0,4.0,5.0,4.0,3.0,1.0,3.0,1,4.0,5.0,5.0,1.0,2.0,2.0,3.0,1.0,4,2.0,3,i am always on time,sometimes,5.0,5.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,,4.0,3.0,3.0,,4.0,5.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,few hours a day,3.0,3.0,4.0,3.0,3.0,2,5.0,27.0,173.0,58.0,1.0,female,right handed,college/bachelor degree,yes,city,house/bungalow
931,5.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,5.0,3.0,2.0,5.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,5,5.0,3.0,5.0,4.0,former smoker,social drinker,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,5.0,4.0,1.0,3.0,5.0,3.0,5.0,2,5.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,3,2.0,2,i am always on time,only to avoid hurting someone,3.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,few hours a day,3.0,5.0,2.0,2.0,3.0,2,4.0,18.0,165.0,45.0,5.0,female,left handed,primary school,no,city,block of flats
932,5.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,1.0,2.0,3.0,2.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,1,2.0,1.0,3.0,2.0,current smoker,social drinker,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,4,1.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,3,4.0,4,i am often running late,only to avoid hurting someone,2.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,most of the day,4.0,3.0,2.0,3.0,4.0,3,2.0,18.0,178.0,80.0,2.0,male,right handed,secondary school,no,city,house/bungalow
933,5.0,3.0,4.0,2.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,5.0,1.0,1.0,5.0,4.0,3.0,1.0,5.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,5.0,5.0,2.0,4.0,5.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,2,1.0,1.0,1.0,3.0,tried smoking,social drinker,3.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,5.0,1.0,5.0,3.0,1.0,1.0,3.0,5.0,5.0,5.0,2.0,5.0,4,4.0,2.0,5.0,2.0,5.0,4.0,3.0,2.0,3,3.0,5,i am often early,sometimes,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,1.0,4.0,3.0,5.0,5.0,4.0,3.0,few hours a day,5.0,3.0,4.0,5.0,4.0,4,4.0,20.0,155.0,45.0,1.0,female,right handed,secondary school,no,city,block of flats
934,5.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,2.0,3.0,1.0,4.0,5.0,5.0,4.0,3.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,2.0,1.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,2.0,2.0,1.0,5.0,5,5.0,3.0,4.0,2.0,current smoker,drink a lot,3.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,1.0,3.0,3.0,1.0,4.0,4.0,2.0,5.0,4,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3,3.0,3,i am often running late,sometimes,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,few hours a day,3.0,4.0,4.0,4.0,4.0,4,4.0,17.0,170.0,50.0,3.0,female,right handed,secondary school,no,city,house/bungalow
935,5.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,2.0,1.0,4.0,2.0,4.0,1,1.0,3.0,4.0,4.0,tried smoking,social drinker,2.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,3.0,4.0,1,2.0,5.0,4.0,2.0,5.0,2.0,5.0,3.0,3,1.0,3,i am always on time,sometimes,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,2.0,3.0,3.0,few hours a day,2.0,2.0,2.0,2.0,2.0,4,4.0,19.0,163.0,54.0,0.0,,right handed,primary school,yes,city,block of flats
936,5.0,3.0,3.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,,3.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,5.0,2.0,1.0,2.0,2.0,5.0,5,3.0,5.0,2.0,2.0,tried smoking,social drinker,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,5,5.0,5.0,1.0,3.0,3.0,5.0,3.0,1.0,3,1.0,3,i am often running late,sometimes,2.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,few hours a day,3.0,5.0,3.0,3.0,3.0,1,2.0,16.0,164.0,60.0,1.0,female,right handed,secondary school,no,city,block of flats
937,4.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,5.0,4,4.0,2.0,3.0,2.0,tried smoking,social drinker,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,2,4.0,3.0,5.0,4.0,2.0,4.0,3.0,5.0,4,2.0,4,i am often early,never,4.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,few hours a day,2.0,4.0,3.0,2.0,1.0,3,2.0,21.0,171.0,66.0,0.0,female,right handed,secondary school,yes,city,block of flats
938,5.0,3.0,4.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,5.0,5.0,4.0,2.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,2.0,3.0,5,4.0,4.0,3.0,4.0,never smoked,social drinker,3.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,5.0,2.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,5.0,4.0,4.0,2,1.0,4.0,5.0,5.0,4.0,4.0,1.0,3.0,4,2.0,1,i am often running late,sometimes,2.0,4.0,4.0,2.0,3.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,2.0,4.0,few hours a day,5.0,2.0,2.0,4.0,2.0,3,5.0,18.0,167.0,62.0,4.0,female,right handed,primary school,yes,village,house/bungalow
939,5.0,3.0,2.0,5.0,1.0,5.0,1.0,4.0,5.0,2.0,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,3.0,5.0,1.0,5.0,4.0,2.0,5.0,1.0,5.0,4.0,5.0,1.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,5.0,4.0,4.0,3.0,1.0,5.0,3.0,2.0,4.0,5.0,3.0,2,4.0,5.0,5.0,3.0,former smoker,social drinker,3.0,3.0,1.0,2.0,5.0,5.0,1.0,5.0,3.0,5.0,2.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3,3.0,1,i am often running late,everytime it suits me,2.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,1.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,5.0,5.0,5.0,3.0,few hours a day,1.0,5.0,4.0,2.0,5.0,3,2.0,19.0,166.0,63.0,0.0,female,right handed,secondary school,yes,city,house/bungalow
940,4.0,3.0,4.0,1.0,4.0,5.0,3.0,4.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,5.0,5.0,4.0,1.0,3.0,5.0,4.0,2.0,1.0,2.0,5.0,2.0,3.0,4.0,4.0,1.0,5.0,5.0,2.0,,5.0,5.0,2.0,1.0,1.0,4.0,1.0,5.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,5.0,1,2.0,3.0,1.0,2.0,never smoked,never,3.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,1.0,4.0,5.0,1.0,5.0,2.0,5.0,2,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,3,3.0,3,i am always on time,only to avoid hurting someone,1.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,few hours a day,3.0,1.0,3.0,3.0,2.0,2,5.0,20.0,,47.0,0.0,female,right handed,secondary school,yes,city,block of flats
941,5.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,,5.0,2.0,2.0,1.0,5.0,1.0,,4.0,2.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,3.0,4.0,1.0,3.0,4.0,5.0,3.0,5,1.0,5.0,3.0,4.0,tried smoking,never,1.0,3.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,4.0,5.0,2.0,5.0,2.0,1.0,2.0,4.0,2.0,4.0,2,2.0,3.0,2.0,2.0,5.0,4.0,5.0,4.0,2,1.0,4,i am often running late,sometimes,2.0,4.0,4.0,4.0,1.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,3.0,few hours a day,2.0,5.0,5.0,4.0,4.0,4,4.0,16.0,172.0,59.0,4.0,male,right handed,primary school,no,city,block of flats
942,5.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,5.0,2.0,1.0,5.0,,2.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,5.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,4,4.0,5.0,3.0,2.0,current smoker,,3.0,5.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,5.0,4.0,1.0,3.0,5.0,1.0,5.0,1,1.0,2.0,2.0,5.0,5.0,3.0,2.0,5.0,3,1.0,3,i am often running late,everytime it suits me,2.0,2.0,3.0,4.0,5.0,3.0,1.0,2.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,5.0,1.0,1.0,2.0,few hours a day,1.0,4.0,5.0,4.0,4.0,2,2.0,18.0,172.0,55.0,3.0,female,right handed,primary school,no,village,house/bungalow
943,5.0,2.0,5.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,5.0,2.0,5.0,4.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,1,1.0,4.0,4.0,5.0,tried smoking,drink a lot,1.0,5.0,1.0,4.0,1.0,3.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,,4.0,4,1.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3,2.0,3,i am often early,only to avoid hurting someone,2.0,1.0,5.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,1.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,most of the day,4.0,4.0,3.0,2.0,2.0,2,4.0,24.0,175.0,71.0,0.0,male,right handed,college/bachelor degree,yes,village,house/bungalow
944,4.0,3.0,3.0,2.0,1.0,5.0,2.0,3.0,,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,5.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,2,1.0,1.0,2.0,1.0,current smoker,social drinker,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,1.0,5.0,4,3.0,5.0,4.0,2.0,4.0,3.0,1.0,2.0,3,2.0,3,i am often early,only to avoid hurting someone,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,less than an hour a day,2.0,3.0,3.0,3.0,3.0,4,3.0,22.0,182.0,83.0,2.0,female,right handed,secondary school,no,city,block of flats
945,5.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,3.0,2.0,4.0,3.0,1.0,5.0,2.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,2.0,5.0,3,2.0,1.0,2.0,4.0,never smoked,social drinker,3.0,3.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,2,2.0,5.0,4.0,2.0,5.0,3.0,2.0,1.0,4,2.0,3,i am often running late,sometimes,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,few hours a day,3.0,4.0,3.0,3.0,4.0,2,3.0,19.0,162.0,47.0,1.0,female,right handed,secondary school,no,village,house/bungalow
946,5.0,2.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,1.0,3.0,2.0,1.0,1,1.0,1.0,1.0,1.0,current smoker,drink a lot,3.0,2.0,4.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,1,1.0,5.0,3.0,1.0,2.0,3.0,1.0,5.0,2,1.0,5,i am often early,everytime it suits me,1.0,3.0,3.0,3.0,5.0,3.0,,1.0,,3.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,2.0,3.0,3.0,1.0,few hours a day,1.0,1.0,4.0,4.0,1.0,5,3.0,22.0,180.0,70.0,1.0,male,right handed,secondary school,no,city,block of flats
947,5.0,5.0,2.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,1.0,4.0,5.0,4.0,2.0,2.0,3.0,5.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,5.0,2.0,1.0,3.0,1.0,5.0,1.0,,3.0,1.0,3.0,2.0,5.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,3,3.0,5.0,5.0,3.0,tried smoking,social drinker,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,4,3.0,3.0,4.0,4.0,3.0,5.0,5.0,1.0,3,3.0,3,i am often early,only to avoid hurting someone,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,few hours a day,1.0,3.0,3.0,3.0,4.0,3,3.0,22.0,193.0,100.0,0.0,male,right handed,secondary school,yes,city,house/bungalow
